matrix,ranks,src_rank,dst_rank,elements,bytes
Bump_2911,16,2,0,162,1296
Bump_2911,16,2,1,3438,27504
Bump_2911,16,2,3,7788,62304
Bump_2911,16,2,4,186,1488
Bump_2911,16,2,5,5343,42744
Bump_2911,16,2,6,981,7848
Bump_2911,16,2,7,810,6480
Bump_2911,16,2,11,3975,31800
Bump_2911,16,2,14,75,600
Bump_2911,16,2,15,999,7992
Bump_2911,16,3,0,4188,33504
Bump_2911,16,3,1,1080,8640
Bump_2911,16,3,2,7794,62352
Bump_2911,16,3,6,3126,25008
Bump_2911,16,3,7,3504,28032
Bump_2911,16,3,11,2571,20568
Bump_2911,16,3,12,18,144
Bump_2911,16,3,13,12,96
Bump_2911,16,3,14,1704,13632
Bump_2911,16,4,0,465,3720
Bump_2911,16,4,1,2067,16536
Bump_2911,16,4,2,165,1320
Bump_2911,16,4,5,8583,68664
Bump_2911,16,4,6,3720,29760
Bump_2911,16,4,7,3810,30480
Bump_2911,16,4,13,1263,10104
Bump_2911,16,5,1,861,6888
Bump_2911,16,5,2,5436,43488
Bump_2911,16,5,4,8565,68520
Bump_2911,16,5,6,3951,31608
Bump_2911,16,5,7,3276,26208
Bump_2911,16,5,13,843,6744
Bump_2911,16,5,14,24,192
Bump_2911,16,5,15,2073,16584
Bump_2911,16,6,0,1716,13728
Bump_2911,16,6,1,63,504
Bump_2911,16,6,2,987,7896
Bump_2911,16,6,3,3138,25104
Bump_2911,16,6,4,3723,29784
Bump_2911,16,6,5,3945,31560
Bump_2911,16,6,7,7650,61200
Bump_2911,16,6,12,18,144
Bump_2911,16,6,13,4701,37608
Bump_2911,16,6,14,2937,23496
Bump_2911,16,6,15,732,5856
Bump_2911,16,7,0,1934,15472
Bump_2911,16,7,1,42,336
Bump_2911,16,7,2,819,6552
Bump_2911,16,7,3,3549,28392
Bump_2911,16,7,4,3699,29592
Bump_2911,16,7,5,3225,25800
Bump_2911,16,7,6,7628,61024
Bump_2911,16,8,9,8205,65640
Bump_2911,16,8,10,3021,24168
Bump_2911,16,8,11,102,816
Bump_2911,16,8,12,3285,26280
Bump_2911,16,8,14,300,2400
Bump_2911,16,9,0,2859,22872
Bump_2911,16,9,1,1770,14160
Bump_2911,16,9,8,8199,65592
Bump_2911,16,9,10,1641,13128
Bump_2911,16,9,11,2466,19728
Bump_2911,16,9,12,5880,47040
Bump_2911,16,9,15,906,7248
Bump_2911,16,10,8,3051,24408
Bump_2911,16,10,9,1590,12720
Bump_2911,16,10,11,6645,53160
Bump_2911,16,10,12,3,24
Bump_2911,16,10,14,2985,23880
Bump_2911,16,10,15,1821,14568
Bump_2911,16,11,0,549,4392
Bump_2911,16,11,1,789,6312
Bump_2911,16,11,2,3957,31656
Bump_2911,16,11,3,2652,21216
Bump_2911,16,11,8,114,912
Bump_2911,16,11,9,2376,19008
Bump_2911,16,11,10,6663,53304
Bump_2911,16,11,12,246,1968
Bump_2911,16,11,14,4176,33408
Bump_2911,16,11,15,3510,28080
Bump_2911,16,12,0,1818,14544
Bump_2911,16,12,1,2244,17952
Bump_2911,16,12,3,21,168
Bump_2911,16,12,6,21,168
Bump_2911,16,12,8,3306,26448
Bump_2911,16,12,9,6015,48120
Bump_2911,16,12,10,3,24
Bump_2911,16,12,11,225,1800
Bump_2911,16,12,13,8148,65184
Bump_2911,16,12,14,3072,24576
Bump_2911,16,12,15,1266,10128
Bump_2911,16,13,0,582,4656
Bump_2911,16,13,1,381,3048
Bump_2911,16,13,3,9,72
Bump_2911,16,13,4,1368,10944
Bump_2911,16,13,5,864,6912
Bump_2911,16,13,6,4686,37488
Bump_2911,16,13,12,8256,66048
Bump_2911,16,13,14,3252,26016
Bump_2911,16,13,15,3708,29664
Bump_2911,16,14,0,15,120
Bump_2911,16,14,2,87,696
Bump_2911,16,14,3,1659,13272
Bump_2911,16,14,5,21,168
Bump_2911,16,14,6,2991,23928
Bump_2911,16,14,8,330,2640
Bump_2911,16,14,10,3045,24360
Bump_2911,16,14,11,4185,33480
Bump_2911,16,14,12,3039,24312
Bump_2911,16,14,13,3285,26280
Bump_2911,16,14,15,4530,36240
Bump_2911,16,15,1,222,1776
Bump_2911,16,15,2,1041,8328
Bump_2911,16,15,5,2094,16752
Bump_2911,16,15,6,759,6072
Bump_2911,16,15,9,846,6768
Bump_2911,16,15,10,1848,14784
Bump_2911,16,15,11,3570,28560
Bump_2911,16,15,12,1302,10416
Bump_2911,16,15,13,3747,29976
Bump_2911,16,15,14,4464,35712
Bump_2911,32,0,1,3111,24888
Bump_2911,32,0,2,1251,10008
Bump_2911,32,0,3,2490,19920
Bump_2911,32,0,4,864,6912
Bump_2911,32,0,5,1479,11832
Bump_2911,32,0,6,231,1848
Bump_2911,32,0,7,33,264
Bump_2911,32,0,15,21,168
Bump_2911,32,0,17,2916,23328
Bump_2911,32,0,21,225,1800
Bump_2911,32,0,23,456,3648
Bump_2911,32,0,29,414,3312
Bump_2911,32,0,31,3,24
Bump_2911,32,1,0,3075,24600
Bump_2911,32,1,2,2247,17976
Bump_2911,32,1,3,1890,15120
Bump_2911,32,1,4,408,3264
Bump_2911,32,1,5,1527,12216
Bump_2911,32,1,12,1399,11192
Bump_2911,32,1,13,1317,10536
Bump_2911,32,1,14,807,6456
Bump_2911,32,1,15,756,6048
Bump_2911,32,1,21,879,7032
Bump_2911,32,1,23,966,7728
Bump_2911,32,2,0,1203,9624
Bump_2911,32,2,1,2184,17472
Bump_2911,32,2,3,4062,32496
Bump_2911,32,2,5,102,816
Bump_2911,32,2,6,186,1488
Bump_2911,32,2,7,2472,19776
Bump_2911,32,2,10,3,24
Bump_2911,32,2,11,939,7512
Bump_2911,32,2,12,687,5496
Bump_2911,32,2,13,363,2904
Bump_2911,32,3,0,2502,20016
Bump_2911,32,3,1,1833,14664
Bump_2911,32,3,2,3960,31680
Bump_2911,32,3,5,78,624
Bump_2911,32,3,6,1911,15288
Bump_2911,32,3,10,237,1896
Bump_2911,32,3,11,579,4632
Bump_2911,32,3,13,447,3576
Bump_2911,32,3,17,1368,10944
Bump_2911,32,3,21,2805,22440
Bump_2911,32,3,23,66,528
Bump_2911,32,3,25,528,4224
Bump_2911,32,3,29,645,5160
Bump_2911,32,4,0,864,6912
Bump_2911,32,4,1,435,3480
Bump_2911,32,4,5,4131,33048
Bump_2911,32,4,6,3327,26616
Bump_2911,32,4,9,744,5952
Bump_2911,32,4,10,729,5832
Bump_2911,32,4,14,96,768
Bump_2911,32,4,15,2322,18576
Bump_2911,32,4,23,33,264
Bump_2911,32,4,25,174,1392
Bump_2911,32,4,29,2469,19752
Bump_2911,32,4,31,2376,19008
Bump_2911,32,5,0,1479,11832
Bump_2911,32,5,1,1509,12072
Bump_2911,32,5,2,102,816
Bump_2911,32,5,3,72,576
Bump_2911,32,5,4,4161,33288
Bump_2911,32,5,6,1275,10200
Bump_2911,32,5,7,3525,28200
Bump_2911,32,5,9,2199,17592
Bump_2911,32,5,14,1791,14328
Bump_2911,32,5,15,129,1032
Bump_2911,32,6,0,201,1608
Bump_2911,32,6,2,198,1584
Bump_2911,32,6,3,1926,15408
Bump_2911,32,6,4,3390,27120
Bump_2911,32,6,5,1278,10224
Bump_2911,32,6,7,4449,35592
Bump_2911,32,6,9,279,2232
Bump_2911,32,6,10,2565,20520
Bump_2911,32,6,25,2376,19008
Bump_2911,32,6,29,1962,15696
Bump_2911,32,7,0,33,264
Bump_2911,32,7,2,2328,18624
Bump_2911,32,7,5,3501,28008
Bump_2911,32,7,6,4422,35376
Bump_2911,32,7,8,1779,14232
Bump_2911,32,7,9,774,6192
Bump_2911,32,7,10,600,4800
Bump_2911,32,7,11,204,1632
Bump_2911,32,8,7,1728,13824
Bump_2911,32,8,9,4647,37176
Bump_2911,32,8,10,768,6144
Bump_2911,32,8,11,4482,35856
Bump_2911,32,8,12,1686,13488
Bump_2911,32,8,13,45,360
Bump_2911,32,8,14,213,1704
Bump_2911,32,9,4,732,5856
Bump_2911,32,9,5,2250,18000
Bump_2911,32,9,6,300,2400
Bump_2911,32,9,7,774,6192
Bump_2911,32,9,8,4575,36600
Bump_2911,32,9,10,2451,19608
Bump_2911,32,9,11,585,4680
Bump_2911,32,9,12,264,2112
Bump_2911,32,9,13,276,2208
Bump_2911,32,9,14,3798,30384
Bump_2911,32,9,15,1503,12024
Bump_2911,32,10,2,6,48
Bump_2911,32,10,3,243,1944
Bump_2911,32,10,4,744,5952
Bump_2911,32,10,6,2643,21144
Bump_2911,32,10,7,606,4848
Bump_2911,32,10,8,762,6096
Bump_2911,32,10,9,2487,19896
Bump_2911,32,10,11,4080,32640
Bump_2911,32,10,13,912,7296
Bump_2911,32,10,15,1917,15336
Bump_2911,32,10,20,900,7200
Bump_2911,32,10,21,42,336
Bump_2911,32,10,23,6,48
Bump_2911,32,10,24,384,3072
Bump_2911,32,10,25,2007,16056
Bump_2911,32,10,30,546,4368
Bump_2911,32,10,31,606,4848
Bump_2911,32,11,2,885,7080
Bump_2911,32,11,3,525,4200
Bump_2911,32,11,7,219,1752
Bump_2911,32,11,8,4485,35880
Bump_2911,32,11,9,585,4680
Bump_2911,32,11,10,4056,32448
Bump_2911,32,11,12,2298,18384
Bump_2911,32,11,13,2976,23808
Bump_2911,32,11,20,552,4416
Bump_2911,32,11,21,177,1416
Bump_2911,32,12,1,1328,10624
Bump_2911,32,12,2,702,5616
Bump_2911,32,12,8,1710,13680
Bump_2911,32,12,9,258,2064
Bump_2911,32,12,11,2226,17808
Bump_2911,32,12,13,3714,29712
Bump_2911,32,12,14,3420,27360
Bump_2911,32,13,1,1320,10560
Bump_2911,32,13,2,300,2400
Bump_2911,32,13,3,444,3552
Bump_2911,32,13,8,48,384
Bump_2911,32,13,9,267,2136
Bump_2911,32,13,10,942,7536
Bump_2911,32,13,11,2994,23952
Bump_2911,32,13,12,3720,29760
Bump_2911,32,13,14,705,5640
Bump_2911,32,13,15,2943,23544
Bump_2911,32,13,20,1266,10128
Bump_2911,32,13,21,168,1344
Bump_2911,32,13,23,2133,17064
Bump_2911,32,14,1,753,6024
Bump_2911,32,14,4,105,840
Bump_2911,32,14,5,1809,14472
Bump_2911,32,14,8,216,1728
Bump_2911,32,14,9,3729,29832
Bump_2911,32,14,12,3441,27528
Bump_2911,32,14,13,702,5616
Bump_2911,32,14,15,3630,29040
Bump_2911,32,15,0,30,240
Bump_2911,32,15,1,699,5592
Bump_2911,32,15,4,2367,18936
Bump_2911,32,15,5,138,1104
Bump_2911,32,15,9,1488,11904
Bump_2911,32,15,10,1890,15120
Bump_2911,32,15,13,2907,23256
Bump_2911,32,15,14,3618,28944
Bump_2911,32,15,20,15,120
Bump_2911,32,15,23,2496,19968
Bump_2911,32,15,30,1194,9552
Bump_2911,32,15,31,567,4536
Bump_2911,32,16,17,3453,27624
Bump_2911,32,16,18,2484,19872
Bump_2911,32,16,19,3225,25800
Bump_2911,32,16,26,42,336
Bump_2911,32,16,27,1209,9672
Bump_2911,32,17,0,2955,23640
Bump_2911,32,17,3,1368,10944
Bump_2911,32,17,16,3567,28536
Bump_2911,32,17,18,1722,13776
Bump_2911,32,17,19,1737,13896
Bump_2911,32,17,21,1359,10872
Bump_2911,32,17,23,1131,9048
Bump_2911,32,17,25,324,2592
Bump_2911,32,17,26,198,1584
Bump_2911,32,17,27,396,3168
Bump_2911,32,17,28,678,5424
Bump_2911,32,17,29,1602,12816
Bump_2911,32,17,30,39,312
Bump_2911,32,17,31,156,1248
Bump_2911,32,18,16,2502,20016
Bump_2911,32,18,17,1782,14256
Bump_2911,32,18,19,2568,20544
Bump_2911,32,18,20,714,5712
Bump_2911,32,18,21,2727,21816
Bump_2911,32,18,24,444,3552
Bump_2911,32,18,25,207,1656
Bump_2911,32,18,26,945,7560
Bump_2911,32,18,27,171,1368
Bump_2911,32,19,16,3033,24264
Bump_2911,32,19,17,1728,13824
Bump_2911,32,19,18,2571,20568
Bump_2911,32,19,20,159,1272
Bump_2911,32,19,21,1713,13704
Bump_2911,32,19,22,1662,13296
Bump_2911,32,19,23,543,4344
Bump_2911,32,19,27,333,2664
Bump_2911,32,19,28,894,7152
Bump_2911,32,19,30,351,2808
Bump_2911,32,20,10,921,7368
Bump_2911,32,20,11,561,4488
Bump_2911,32,20,13,1224,9792
Bump_2911,32,20,15,24,192
Bump_2911,32,20,18,756,6048
Bump_2911,32,20,19,174,1392
Bump_2911,32,20,21,3822,30576
Bump_2911,32,20,22,3114,24912
Bump_2911,32,20,23,1794,14352
Bump_2911,32,20,24,3183,25464
Bump_2911,32,20,25,78,624
Bump_2911,32,20,30,243,1944
Bump_2911,32,21,0,183,1464
Bump_2911,32,21,1,921,7368
Bump_2911,32,21,3,2823,22584
Bump_2911,32,21,10,51,408
Bump_2911,32,21,11,207,1656
Bump_2911,32,21,13,153,1224
Bump_2911,32,21,17,1401,11208
Bump_2911,32,21,18,2760,22080
Bump_2911,32,21,19,1779,14232
Bump_2911,32,21,20,3420,27360
Bump_2911,32,21,22,1356,10848
Bump_2911,32,21,23,2391,19128
Bump_2911,32,21,24,978,7824
Bump_2911,32,21,25,549,4392
Bump_2911,32,22,19,1596,12768
Bump_2911,32,22,20,3102,24816
Bump_2911,32,22,21,1314,10512
Bump_2911,32,22,23,4281,34248
Bump_2911,32,22,24,219,1752
Bump_2911,32,22,30,2598,20784
Bump_2911,32,23,0,468,3744
Bump_2911,32,23,1,963,7704
Bump_2911,32,23,3,63,504
Bump_2911,32,23,4,39,312
Bump_2911,32,23,10,6,48
Bump_2911,32,23,13,2178,17424
Bump_2911,32,23,15,2496,19968
Bump_2911,32,23,17,1152,9216
Bump_2911,32,23,19,477,3816
Bump_2911,32,23,20,1794,14352
Bump_2911,32,23,21,2334,18672
Bump_2911,32,23,22,4353,34824
Bump_2911,32,23,24,45,360
Bump_2911,32,23,28,12,96
Bump_2911,32,23,29,21,168
Bump_2911,32,23,30,2724,21792
Bump_2911,32,23,31,285,2280
Bump_2911,32,24,10,288,2304
Bump_2911,32,24,18,465,3720
Bump_2911,32,24,20,3222,25776
Bump_2911,32,24,21,1053,8424
Bump_2911,32,24,22,234,1872
Bump_2911,32,24,23,66,528
Bump_2911,32,24,25,5064,40512
Bump_2911,32,24,26,2457,19656
Bump_2911,32,24,28,36,288
Bump_2911,32,24,30,939,7512
Bump_2911,32,24,31,1290,10320
Bump_2911,32,25,3,510,4080
Bump_2911,32,25,4,174,1392
Bump_2911,32,25,6,2406,19248
Bump_2911,32,25,10,1968,15744
Bump_2911,32,25,17,312,2496
Bump_2911,32,25,18,192,1536
Bump_2911,32,25,20,72,576
Bump_2911,32,25,21,582,4656
Bump_2911,32,25,24,4950,39600
Bump_2911,32,25,26,2505,20040
Bump_2911,32,25,28,114,912
Bump_2911,32,25,29,2406,19248
Bump_2911,32,25,30,369,2952
Bump_2911,32,25,31,1650,13200
Bump_2911,32,26,16,36,288
Bump_2911,32,26,17,174,1392
Bump_2911,32,26,18,888,7104
Bump_2911,32,26,24,2496,19968
Bump_2911,32,26,25,2538,20304
Bump_2911,32,26,27,5085,40680
Bump_2911,32,26,28,1926,15408
Bump_2911,32,26,29,2127,17016
Bump_2911,32,26,31,315,2520
Bump_2911,32,27,16,1311,10488
Bump_2911,32,27,17,396,3168
Bump_2911,32,27,18,174,1392
Bump_2911,32,27,19,384,3072
Bump_2911,32,27,26,5010,40080
Bump_2911,32,27,28,2787,22296
Bump_2911,32,27,29,990,7920
Bump_2911,32,28,17,684,5472
Bump_2911,32,28,19,828,6624
Bump_2911,32,28,23,12,96
Bump_2911,32,28,24,42,336
Bump_2911,32,28,25,120,960
Bump_2911,32,28,26,1938,15504
Bump_2911,32,28,27,2817,22536
Bump_2911,32,28,29,3276,26208
Bump_2911,32,28,30,1329,10632
Bump_2911,32,28,31,3573,28584
Bump_2911,32,29,0,429,3432
Bump_2911,32,29,3,642,5136
Bump_2911,32,29,4,2577,20616
Bump_2911,32,29,6,1971,15768
Bump_2911,32,29,17,1530,12240
Bump_2911,32,29,23,18,144
Bump_2911,32,29,25,2451,19608
Bump_2911,32,29,26,2211,17688
Bump_2911,32,29,27,1008,8064
Bump_2911,32,29,28,3351,26808
Bump_2911,32,29,31,2193,17544
Bump_2911,32,30,10,549,4392
Bump_2911,32,30,15,1131,9048
Bump_2911,32,30,17,36,288
Bump_2911,32,30,19,333,2664
Bump_2911,32,30,20,222,1776
Bump_2911,32,30,22,2760,22080
Bump_2911,32,30,23,2811,22488
Bump_2911,32,30,24,954,7632
Bump_2911,32,30,25,372,2976
Bump_2911,32,30,28,1332,10656
Bump_2911,32,30,31,4938,39504
Bump_2911,32,31,0,3,24
Bump_2911,32,31,4,2277,18216
Bump_2911,32,31,10,612,4896
Bump_2911,32,31,15,618,4944
Bump_2911,32,31,17,156,1248
Bump_2911,32,31,23,273,2184
Bump_2911,32,31,24,1320,10560
Bump_2911,32,31,25,1584,12672
Bump_2911,32,31,26,327,2616
Bump_2911,32,31,28,3555,28440
Bump_2911,32,31,29,2382,19056
Bump_2911,32,31,30,4884,39072
Queen_4147,2,0,1,30789,246312
Queen_4147,2,1,0,30759,246072
Queen_4147,4,0,1,29680,237440
Queen_4147,4,0,2,11853,94824
Queen_4147,4,0,3,282,2256
Queen_4147,4,1,0,29627,237016
Queen_4147,4,1,2,2448,19584
Queen_4147,4,1,3,16611,132888
Queen_4147,4,2,0,12042,96336
Queen_4147,4,2,1,2529,20232
Queen_4147,4,2,3,23063,184504
Queen_4147,4,3,0,282,2256
Queen_4147,4,3,1,16446,131568
Queen_4147,4,3,2,23209,185672
Queen_4147,8,0,1,13728,109824
Queen_4147,8,0,2,474,3792
Queen_4147,8,0,3,13852,110816
Queen_4147,8,0,7,12027,96216
Queen_4147,8,1,0,13806,110448
Queen_4147,8,1,2,14370,114960
Queen_4147,8,1,3,1554,12432
Queen_4147,8,2,0,453,3624
Queen_4147,8,2,1,14424,115392
Queen_4147,8,2,3,16588,132704
Queen_4147,8,3,0,13736,109888
Queen_4147,8,3,1,1524,12192
Queen_4147,8,3,2,16655,133240
Queen_4147,8,3,5,16299,130392
Queen_4147,8,3,7,2946,23568
Queen_4147,8,4,5,12144,97152
Queen_4147,8,4,6,10518,84144
Queen_4147,8,4,7,2151,17208
Queen_4147,8,5,3,16029,128232
Queen_4147,8,5,4,12093,96744
Queen_4147,8,5,7,12412,99296
Queen_4147,8,6,4,10248,81984
Queen_4147,8,6,7,15649,125192
Queen_4147,8,7,0,12324,98592
Queen_4147,8,7,3,2946,23568
Queen_4147,8,7,4,2160,17280
Queen_4147,8,7,5,12599,100792
Queen_4147,8,7,6,15635,125080
Queen_4147,16,0,1,8691,69528
Queen_4147,16,0,2,5874,46992
Queen_4147,16,0,3,1086,8688
Queen_4147,16,0,5,8341,66728
Queen_4147,16,0,6,591,4728
Queen_4147,16,0,14,288,2304
Queen_4147,16,0,15,5385,43080
Queen_4147,16,1,0,8793,70344
Queen_4147,16,1,2,810,6480
Queen_4147,16,1,3,6396,51168
Queen_4147,16,1,5,5373,42984
Queen_4147,16,1,8,912,7296
Queen_4147,16,1,14,5583,44664
Queen_4147,16,1,15,420,3360
Queen_4147,16,2,0,5832,46656
Queen_4147,16,2,1,831,6648
Queen_4147,16,2,3,9657,77256
Queen_4147,16,2,5,18,144
Queen_4147,16,2,6,6078,48624
Queen_4147,16,3,0,1062,8496
Queen_4147,16,3,1,6444,51552
Queen_4147,16,3,2,9702,77616
Queen_4147,16,3,5,2646,21168
Queen_4147,16,3,6,5517,44136
Queen_4147,16,3,7,1962,15696
Queen_4147,16,4,5,10900,87200
Queen_4147,16,4,6,2961,23688
Queen_4147,16,4,7,7581,60648
Queen_4147,16,4,8,4284,34272
Queen_4147,16,4,9,6387,51096
Queen_4147,16,5,0,8342,66736
Queen_4147,16,5,1,5610,44880
Queen_4147,16,5,2,21,168
Queen_4147,16,5,3,2589,20712
Queen_4147,16,5,4,11063,88504
Queen_4147,16,5,6,5562,44496
Queen_4147,16,5,7,1950,15600
Queen_4147,16,5,8,4101,32808
Queen_4147,16,5,9,2979,23832
Queen_4147,16,5,15,1779,14232
Queen_4147,16,6,0,552,4416
Queen_4147,16,6,2,6228,49824
Queen_4147,16,6,3,5475,43800
Queen_4147,16,6,4,2955,23640
Queen_4147,16,6,5,5643,45144
Queen_4147,16,6,7,11823,94584
Queen_4147,16,7,3,1950,15600
Queen_4147,16,7,4,7431,59448
Queen_4147,16,7,5,1947,15576
Queen_4147,16,7,6,12081,96648
Queen_4147,16,8,1,921,7368
Queen_4147,16,8,4,4176,33408
Queen_4147,16,8,5,4170,33360
Queen_4147,16,8,9,8982,71856
Queen_4147,16,8,10,7815,62520
Queen_4147,16,8,11,48,384
Queen_4147,16,8,12,519,4152
Queen_4147,16,8,14,5992,47936
Queen_4147,16,8,15,624,4992
Queen_4147,16,9,4,6369,50952
Queen_4147,16,9,5,2895,23160
Queen_4147,16,9,8,8907,71256
Queen_4147,16,9,10,732,5856
Queen_4147,16,9,11,7272,58176
Queen_4147,16,9,12,1182,9456
Queen_4147,16,9,14,60,480
Queen_4147,16,9,15,4593,36744
Queen_4147,16,10,8,8016,64128
Queen_4147,16,10,9,711,5688
Queen_4147,16,10,11,8886,71088
Queen_4147,16,10,12,7455,59640
Queen_4147,16,10,14,12,96
Queen_4147,16,11,8,51,408
Queen_4147,16,11,9,7026,56208
Queen_4147,16,11,10,8946,71568
Queen_4147,16,11,12,4779,38232
Queen_4147,16,12,8,528,4224
Queen_4147,16,12,9,1170,9360
Queen_4147,16,12,10,7698,61584
Queen_4147,16,12,11,4992,39936
Queen_4147,16,12,13,9546,76368
Queen_4147,16,12,14,4299,34392
Queen_4147,16,12,15,3801,30408
Queen_4147,16,13,12,9516,76128
Queen_4147,16,13,14,4893,39144
Queen_4147,16,13,15,4891,39128
Queen_4147,16,14,0,300,2400
Queen_4147,16,14,1,5517,44136
Queen_4147,16,14,8,5771,46168
Queen_4147,16,14,9,51,408
Queen_4147,16,14,10,15,120
Queen_4147,16,14,12,4326,34608
Queen_4147,16,14,13,4917,39336
Queen_4147,16,14,15,9049,72392
Queen_4147,16,15,0,5535,44280
Queen_4147,16,15,1,393,3144
Queen_4147,16,15,5,1839,14712
Queen_4147,16,15,8,603,4824
Queen_4147,16,15,9,4620,36960
Queen_4147,16,15,12,3759,30072
Queen_4147,16,15,13,4826,38608
Queen_4147,16,15,14,9101,72808
Queen_4147,32,0,1,5301,42408
Queen_4147,32,0,2,408,3264
Queen_4147,32,0,3,4140,33120
Queen_4147,32,0,12,4216,33728
Queen_4147,32,0,14,198,1584
Queen_4147,32,0,24,474,3792
Queen_4147,32,0,25,4623,36984
Queen_4147,32,0,26,489,3912
Queen_4147,32,0,27,363,2904
Queen_4147,32,1,0,5331,42648
Queen_4147,32,1,2,4128,33024
Queen_4147,32,1,3,375,3000
Queen_4147,32,1,4,4095,32760
Queen_4147,32,1,5,1707,13656
Queen_4147,32,1,6,1224,9792
Queen_4147,32,1,7,252,2016
Queen_4147,32,1,12,3597,28776
Queen_4147,32,1,14,930,7440
Queen_4147,32,2,0,390,3120
Queen_4147,32,2,1,4170,33360
Queen_4147,32,2,3,5496,43968
Queen_4147,32,2,5,693,5544
Queen_4147,32,2,6,2745,21960
Queen_4147,32,2,7,3936,31488
Queen_4147,32,2,14,1539,12312
Queen_4147,32,3,0,4185,33480
Queen_4147,32,3,1,357,2856
Queen_4147,32,3,2,5499,43992
Queen_4147,32,3,12,39,312
Queen_4147,32,3,14,3831,30648
Queen_4147,32,3,22,447,3576
Queen_4147,32,3,24,108,864
Queen_4147,32,3,26,2946,23568
Queen_4147,32,3,27,3414,27312
Queen_4147,32,4,1,3810,30480
Queen_4147,32,4,5,8703,69624
Queen_4147,32,4,6,4782,38256
Queen_4147,32,4,7,978,7824
Queen_4147,32,4,10,5412,43296
Queen_4147,32,4,12,429,3432
Queen_4147,32,5,1,1689,13512
Queen_4147,32,5,2,696,5568
Queen_4147,32,5,4,8706,69648
Queen_4147,32,5,7,5082,40656
Queen_4147,32,6,1,1185,9480
Queen_4147,32,6,2,2754,22032
Queen_4147,32,6,4,4632,37056
Queen_4147,32,6,7,6870,54960
Queen_4147,32,6,8,7215,57720
Queen_4147,32,6,10,1860,14880
Queen_4147,32,6,12,60,480
Queen_4147,32,6,14,1518,12144
Queen_4147,32,7,1,210,1680
Queen_4147,32,7,2,3825,30600
Queen_4147,32,7,4,1014,8112
Queen_4147,32,7,5,5241,41928
Queen_4147,32,7,6,6684,53472
Queen_4147,32,8,6,7029,56232
Queen_4147,32,8,9,9439,75512
Queen_4147,32,8,10,4611,36888
